2026-01-05 02:14:14 - INFO: Verification failed with the loop bound: assume(i >= n); assume(i >= x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 1, feed_back_iter: 0, verification_time: 0.5855388827621937, infer_time: 1.4930738881230354, tokens: 802
2026-01-05 02:14:15 - INFO: Verification failed with the loop bound: assume(i >= n); assume(i >= x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 2, feed_back_iter: 0, verification_time: 0.8661375232040882, infer_time: 1.4930738881230354, tokens: 802
2026-01-05 02:14:17 - INFO: Verification failed with the loop bound: assume(i >= n); assume(i >= x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 3, feed_back_iter: 0, verification_time: 1.425722822546959, infer_time: 1.4930738881230354, tokens: 802
2026-01-05 02:14:25 - INFO: Const-add verification failed with the loop bound: assume(i >= n); assume(i >= x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 8.61201986297965, infer_time: 1.4930738881230354, feed_back_iter: 0, tokens: 802
2026-01-05 02:14:27 - INFO: Verification failed with the loop bound: assume(i >= n + x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 1, feed_back_iter: 1, verification_time: 0.5864735879004002, infer_time: 1.4834335930645466, tokens: 969
2026-01-05 02:20:31 - INFO: Const-add verification timed out with the loop bound: assume(i >= n + x + 1); assume(i >= n + y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 14.023006565868855, infer_time: 1.6304839998483658, feed_back_iter: 3, tokens: 982
2026-01-05 02:20:36 - INFO: Verification failed with the loop bound: assume(i >= n + x + y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 1, feed_back_iter: 4, verification_time: 4.255213838070631, infer_time: 1.358433373272419, tokens: 984
2026-01-05 02:20:55 - INFO: Verification failed with the loop bound: assume(i >= n + x + y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 2, feed_back_iter: 4, verification_time: 18.272841837257147, infer_time: 1.358433373272419, tokens: 984
2026-01-05 02:21:55 - INFO: Verification timed out with the loop bound: assume(i >= n + x + y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 1.358433373272419, feed_back_iter: 4, tokens: 984
2026-01-05 02:22:55 - INFO: Const-add verification timed out with the loop bound: assume(i >= n + x + y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 18.272841837257147, infer_time: 1.358433373272419, feed_back_iter: 4, tokens: 984
2026-01-05 02:23:57 - INFO: Verification timed out with the loop bound: assume(i0 >= n + 1 && i1 >= x + 1 && i2 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 1, infer_time: 1.6626442298293114, feed_back_iter: 5, tokens: 1240
2026-01-05 02:24:57 - INFO: Verification timed out with the loop bound: assume(i0 >= n + 1 && i1 >= x + 1 && i2 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 2, infer_time: 1.6626442298293114, feed_back_iter: 5, tokens: 1240
2026-01-05 02:25:57 - INFO: Verification timed out with the loop bound: assume(i0 >= n + 1 && i1 >= x + 1 && i2 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 1.6626442298293114, feed_back_iter: 5, tokens: 1240
2026-01-05 02:26:58 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= n + 1 && i1 >= x + 1 && i2 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 0, infer_time: 1.6626442298293114, feed_back_iter: 5, tokens: 1240
2026-01-05 02:27:59 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 1, infer_time: 1.4730470329523087, feed_back_iter: 6, tokens: 1356
2026-01-05 02:28:59 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 2, infer_time: 1.4730470329523087, feed_back_iter: 6, tokens: 1356
2026-01-05 02:29:59 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 1.4730470329523087, feed_back_iter: 6, tokens: 1356
2026-01-05 02:30:59 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 0, infer_time: 1.4730470329523087, feed_back_iter: 6, tokens: 1356
2026-01-05 02:32:01 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 1, infer_time: 1.888048816472292, feed_back_iter: 7, tokens: 1351
2026-01-05 02:33:01 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 2, infer_time: 1.888048816472292, feed_back_iter: 7, tokens: 1351
2026-01-05 02:34:01 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 1.888048816472292, feed_back_iter: 7, tokens: 1351
2026-01-05 02:35:02 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 0, infer_time: 1.888048816472292, feed_back_iter: 7, tokens: 1351
2026-01-05 02:36:04 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1 - y);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 1, infer_time: 1.9770362302660942, feed_back_iter: 8, tokens: 1357
2026-01-05 02:37:04 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1 - y);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 2, infer_time: 1.9770362302660942, feed_back_iter: 8, tokens: 1357
2026-01-05 02:38:04 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1 - y);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 1.9770362302660942, feed_back_iter: 8, tokens: 1357
2026-01-05 02:39:04 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1 - y);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 0, infer_time: 1.9770362302660942, feed_back_iter: 8, tokens: 1357
2026-01-05 02:39:06 - INFO: Lexical loop bound assume(i0 >= x + 1 && i1 >= 2 * n + 1); has already been tried.
2026-01-05 02:40:08 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1 && i2 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 1, infer_time: 1.940199602395296, feed_back_iter: 10, tokens: 1832
2026-01-05 02:41:08 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1 && i2 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 2, infer_time: 1.940199602395296, feed_back_iter: 10, tokens: 1832
2026-01-05 02:42:09 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1 && i2 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 1.940199602395296, feed_back_iter: 10, tokens: 1832
2026-01-05 02:43:09 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1 && i2 >= n + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 0, infer_time: 1.940199602395296, feed_back_iter: 10, tokens: 1832
2026-01-05 02:43:41 - INFO: Verification failed with the loop bound: assume(i0 >= x + 1 && i1 >= n - y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 1, feed_back_iter: 11, verification_time: 31.19089451432228, infer_time: 1.4795546270906925, tokens: 1358
2026-01-05 02:44:42 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n - y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 2, infer_time: 1.4795546270906925, feed_back_iter: 11, tokens: 1358
2026-01-05 02:45:42 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n - y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 1.4795546270906925, feed_back_iter: 11, tokens: 1358
2026-01-05 02:46:42 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n - y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 31.19089451432228, infer_time: 1.4795546270906925, feed_back_iter: 11, tokens: 1358
2026-01-05 02:47:44 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1 && i2 >= n - y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 1, infer_time: 2.322347469627857, feed_back_iter: 12, tokens: 1250
2026-01-05 02:48:44 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1 && i2 >= n - y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 2, infer_time: 2.322347469627857, feed_back_iter: 12, tokens: 1250
2026-01-05 02:49:45 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1 && i2 >= n - y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 2.322347469627857, feed_back_iter: 12, tokens: 1250
2026-01-05 02:50:45 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= n + 1 && i2 >= n - y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 0, infer_time: 2.322347469627857, feed_back_iter: 12, tokens: 1250
2026-01-05 02:50:46 - INFO: Lexical loop bound assume(i0 >= x + 1 && i1 >= n + 1); has already been tried.
2026-01-05 02:51:49 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1 && i2 >= y);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 1, infer_time: 2.3733180202543736, feed_back_iter: 14, tokens: 1962
2026-01-05 02:52:49 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1 && i2 >= y);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 2, infer_time: 2.3733180202543736, feed_back_iter: 14, tokens: 1962
2026-01-05 02:53:49 - INFO: Verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1 && i2 >= y);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 2.3733180202543736, feed_back_iter: 14, tokens: 1962
2026-01-05 02:54:49 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= x + 1 && i1 >= 2 * n + 1 && i2 >= y);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 0, infer_time: 2.3733180202543736, feed_back_iter: 14, tokens: 1962
2026-01-05 02:54:51 - INFO: Verification failed with the loop bound: assume(i >= maxId - id);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl , k: 1, feed_back_iter: 0, verification_time: 0.5245848409831524, infer_time: 1.2154725939035416, tokens: 787
2026-01-05 02:54:52 - INFO: Verification failed with the loop bound: assume(i >= maxId - id);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl , k: 2, feed_back_iter: 0, verification_time: 1.0713759064674377, infer_time: 1.2154725939035416, tokens: 787
2026-01-05 02:54:53 - INFO: Verification failed with the loop bound: assume(i >= maxId - id);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl , k: 3, feed_back_iter: 0, verification_time: 1.6202789209783077, infer_time: 1.2154725939035416, tokens: 787
2026-01-05 02:55:13 - INFO: Const-add verification failed with the loop bound: assume(i >= maxId - id);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, const_part: 3, verification_time: 19.281778313219547, infer_time: 1.2154725939035416, feed_back_iter: 0, tokens: 787
2026-01-05 02:55:15 - INFO: Verification failed with the loop bound: assume(i >= maxId);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl , k: 1, feed_back_iter: 1, verification_time: 0.5286786518990993, infer_time: 1.7310792468488216, tokens: 953
2026-01-05 02:56:15 - INFO: Verification timed out with the loop bound: assume(i >= maxId);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 2, infer_time: 1.7310792468488216, feed_back_iter: 1, tokens: 953
2026-01-05 02:57:15 - INFO: Verification timed out with the loop bound: assume(i >= maxId);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 3, infer_time: 1.7310792468488216, feed_back_iter: 1, tokens: 953
2026-01-05 02:58:15 - INFO: Const-add verification timed out with the loop bound: assume(i >= maxId);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, const_part: 3, verification_time: 0.5286786518990993, infer_time: 1.7310792468488216, feed_back_iter: 1, tokens: 953
2026-01-05 02:58:17 - INFO: Loop bound assume(i >= maxId - id); has already been tried.
2026-01-05 02:59:18 - INFO: Verification timed out with the loop bound: assume(i >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 1, infer_time: 1.5609857887029648, feed_back_iter: 3, tokens: 1038
2026-01-05 03:00:19 - INFO: Verification timed out with the loop bound: assume(i >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 2, infer_time: 1.5609857887029648, feed_back_iter: 3, tokens: 1038
2026-01-05 03:01:19 - INFO: Verification timed out with the loop bound: assume(i >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 3, infer_time: 1.5609857887029648, feed_back_iter: 3, tokens: 1038
2026-01-05 03:02:19 - INFO: Const-add verification timed out with the loop bound: assume(i >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, const_part: 3, verification_time: 0, infer_time: 1.5609857887029648, feed_back_iter: 3, tokens: 1038
2026-01-05 03:02:20 - INFO: Loop bound assume(i >= maxId - id); has already been tried.
2026-01-05 03:03:22 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id + 1 && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 1, infer_time: 1.4935675114393234, feed_back_iter: 5, tokens: 1500
2026-01-05 03:04:22 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id + 1 && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 2, infer_time: 1.4935675114393234, feed_back_iter: 5, tokens: 1500
2026-01-05 03:05:22 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id + 1 && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 3, infer_time: 1.4935675114393234, feed_back_iter: 5, tokens: 1500
2026-01-05 03:06:22 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= maxId - id + 1 && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, const_part: 3, verification_time: 0, infer_time: 1.4935675114393234, feed_back_iter: 5, tokens: 1500
2026-01-05 03:07:24 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 1, infer_time: 2.113136623054743, feed_back_iter: 6, tokens: 1285
2026-01-05 03:08:24 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 2, infer_time: 2.113136623054743, feed_back_iter: 6, tokens: 1285
2026-01-05 03:09:25 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 3, infer_time: 2.113136623054743, feed_back_iter: 6, tokens: 1285
2026-01-05 03:10:25 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, const_part: 3, verification_time: 0, infer_time: 2.113136623054743, feed_back_iter: 6, tokens: 1285
2026-01-05 03:11:26 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 1, infer_time: 1.672039296478033, feed_back_iter: 7, tokens: 1281
2026-01-05 03:12:26 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 2, infer_time: 1.672039296478033, feed_back_iter: 7, tokens: 1281
2026-01-05 03:13:26 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 3, infer_time: 1.672039296478033, feed_back_iter: 7, tokens: 1281
2026-01-05 03:14:27 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, const_part: 3, verification_time: 0, infer_time: 1.672039296478033, feed_back_iter: 7, tokens: 1281
2026-01-05 03:15:29 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 1, infer_time: 2.235588263720274, feed_back_iter: 8, tokens: 1279
2026-01-05 03:16:29 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 2, infer_time: 2.235588263720274, feed_back_iter: 8, tokens: 1279
2026-01-05 03:17:30 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 3, infer_time: 2.235588263720274, feed_back_iter: 8, tokens: 1279
2026-01-05 03:18:30 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= maxId - id && i1 >= maxId + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, const_part: 3, verification_time: 0, infer_time: 2.235588263720274, feed_back_iter: 8, tokens: 1279
2026-01-05 03:18:37 - INFO: Lexical loop bound assume(i0 >= maxId - id + 1 && i1 >= maxId + 1); has already been tried.
2026-01-05 03:19:39 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId - id + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 1, infer_time: 1.7387393414974213, feed_back_iter: 10, tokens: 1626
2026-01-05 03:20:39 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId - id + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 2, infer_time: 1.7387393414974213, feed_back_iter: 10, tokens: 1626
2026-01-05 03:21:39 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId - id + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 3, infer_time: 1.7387393414974213, feed_back_iter: 10, tokens: 1626
2026-01-05 03:22:39 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= maxId + 1 && i1 >= maxId - id + 1);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, const_part: 3, verification_time: 0, infer_time: 1.7387393414974213, feed_back_iter: 10, tokens: 1626
2026-01-05 03:22:41 - INFO: Lexical loop bound assume(i0 >= maxId - id + 1 && i1 >= maxId + 1); has already been tried.
2026-01-05 03:23:43 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id && i1 >= maxId + 1 && i2 >= 0);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 1, infer_time: 1.8300519958138466, feed_back_iter: 12, tokens: 1662
2026-01-05 03:24:43 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id && i1 >= maxId + 1 && i2 >= 0);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 2, infer_time: 1.8300519958138466, feed_back_iter: 12, tokens: 1662
2026-01-05 03:25:44 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id && i1 >= maxId + 1 && i2 >= 0);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 3, infer_time: 1.8300519958138466, feed_back_iter: 12, tokens: 1662
2026-01-05 03:26:44 - INFO: Const-add lexical verification timed out with the loop bound: assume(i0 >= maxId - id && i1 >= maxId + 1 && i2 >= 0);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, const_part: 3, verification_time: 0, infer_time: 1.8300519958138466, feed_back_iter: 12, tokens: 1662
2026-01-05 03:26:46 - INFO: Lexical loop bound assume(i0 >= maxId - id + 1 && i1 >= maxId + 1); has already been tried.
2026-01-05 03:27:48 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id + 1 && i1 >= maxId + 1 && i2 >= 0);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 1, infer_time: 2.231221415102482, feed_back_iter: 14, tokens: 1703
2026-01-05 03:28:48 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id + 1 && i1 >= maxId + 1 && i2 >= 0);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 2, infer_time: 2.231221415102482, feed_back_iter: 14, tokens: 1703
2026-01-05 03:29:48 - INFO: Verification timed out with the loop bound: assume(i0 >= maxId - id + 1 && i1 >= maxId + 1 && i2 >= 0);, file: GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.bpl, k: 3, infer_time: 2.231221415102482, feed_back_iter: 14, tokens: 1703
